Category,Charity Name,EIN,Website,Description,Address
Animals & Environment,American Society for the Prevention of Cruelty to Animals (ASPCA),13-1623829,https://www.aspca.org,"One of the oldest animal welfare organizations in the U.S., focused on preventing cruelty to animals through rescue, adoption, spay/neuter programs, advocacy, and anti-cruelty initiatives.","424 E 92nd St, New York, NY 10128-6804"
Animals & Environment,Best Friends Animal Society,23-7147797,https://www.bestfriends.org,"Runs a large animal sanctuary and partners with shelters nationwide to save dogs and cats, with a goal of bringing the nation to no-kill status for companion animals.","5001 Angel Canyon Rd, Kanab, UT 84741, USA"
Animals & Environment,Environmental Defense Fund,11-6107128,https://www.edf.org,"Environmental advocacy group that uses science, economics, and law to tackle climate change, protect oceans, ecosystems, and health.","257 Park Ave S, 17th Floor, New York, NY 10010, USA"
Animals & Environment,Humane World for Animals (formerly The Humane Society of the United States),53-0225390,https://www.humaneworld.org,"Global animal-welfare organization working to end animal cruelty, rescue animals in crisis, and advance laws and corporate policies that protect animals.","Washington, DC"
Animals & Environment,The Nature Conservancy,53-0242652,https://www.nature.org,International conservation organization focused on protecting ecologically important lands and waters through science-based strategies and partnerships.,"4245 N Fairfax Dr, Suite 100, Arlington, VA 22203"
Animals & Environment,"World Wildlife Fund, Inc. (WWF-US)",52-1693387,https://www.worldwildlife.org,"Global conservation organization working to protect species and habitats, address climate change, and reduce the most pressing threats to biodiversity.","1250 24th St NW, Washington, DC 20037"
Arts & Culture,"Americans for the Arts, Inc.",52-1996467,https://www.americansforthearts.org,National arts advocacy and service organization that builds recognition and support for the value of the arts and supports a network of arts organizations and leaders.,"1275 K St NW, Suite 1200, Washington, DC 20005"
Arts & Culture,Art Institute of Chicago,36-2167725,https://www.artic.edu,"Major museum and art school with world-class collections, exhibitions, and education programs in the visual arts.","111 S Michigan Ave, Chicago, IL 60603, USA"
Arts & Culture,"Lincoln Center for the Performing Arts, Inc.",13-1847137,https://www.lincolncenter.org,"Nonprofit that operates New York's Lincoln Center campus, presenting and supporting world-class music, dance, opera, theater, film, and community cultural events.","70 Lincoln Center Plaza, 9th Floor, New York, NY 10023"
Arts & Culture,"National Public Radio, Inc. (NPR)",52-0907625,https://www.npr.org,Nonprofit producer and distributor of news and cultural programming to a network of public radio stations across the U.S.,"1111 N Capitol St NE, Washington, DC 20002, USA"
