Order Quantity,Box 1 Weight (oz),Length (in),Width (in),Height (in)
36,20,8.5,6.125,3.25
48,25,8.5,6.125,3.25
60,30,8.5,6.125,3.25
72,35,8.5,6.125,3.25
84,45,11.5,8.75,5.75
100,52,11.5,8.75,5.75
124,62,11.5,8.75,5.75
148,73,11.5,8.75,5.75
172,83,11.5,8.75,5.75
200,95,11.5,8.75,5.75
224,105,11.5,8.75,5.75
248,115,11.5,8.75,5.75
272,126,11.5,8.75,5.75
300,149,12,12,6
324,159,12,12,6
348,169,12,12,6
372,180,12,12,6
400,191,12,12,6
424,202,12,12,6
448,212,12,12,6
472,222,15,12,10
500,234,15,12,10
550,256,15,12,10
600,297,15,12,10
650,319,15,12,10
700,340,15,12,10
750,361,15,12,10
800,383,15,12,10
850,404,15,12,10
900,426,16,16,16
950,447,16,16,16
1000,468,16,16,16
