Name,ICD10,URL
Certain infectious and parasitic diseases,A00-B99,https://healthicons.org/icon/outline/symbols/virus
Neoplasms,C00-D49,https://healthicons.org/icon/outline/conditions/cancerous_cell_nuclei
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,https://healthicons.org/icon/outline/body/blood_cells
"Endocrine, nutritional and metabolic diseases",E00-E89,https://healthicons.org/icon/outline/specialties/endocrinology
"Mental, Behavioral and Neurodevelopmental disorders",F01-F99,https://healthicons.org/icon/outline/people/mental_disorders
Diseases of the nervous system,G00-G99,https://healthicons.org/icon/outline/body/nerve
Diseases of the eye and adnexa,H00-H59,https://healthicons.org/icon/outline/body/eye
Diseases of the ear and mastoid process,H60-H95,https://healthicons.org/icon/outline/body/ear
Diseases of the circulatory system,I00-I99,https://healthicons.org/icon/outline/body/heart_organ
Diseases of the respiratory system,J00-J99,https://healthicons.org/icon/outline/conditions/viral_lung_infection
Diseases of the digestive system,K00-K95,https://healthicons.org/icon/outline/conditions/stomach_cancer
Diseases of the skin and subcutaneous tissue,L00-L99,https://healthicons.org/icon/outline/people/symptom
Diseases of the musculoskeletal system and connective tissue,M00-M99,https://healthicons.org/icon/outline/body/spine
Diseases of the genitourinary system,N00-N99,https://healthicons.org/icon/outline/body/female_reproductive_system
"Pregnancy, childbirth and the puerperium",O00-O9A,https://healthicons.org/icon/outline/people/pregnant
Certain conditions originating in the perinatal period,P00-P96,https://healthicons.org/icon/outline/people/ancv
"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,https://healthicons.org/icon/outline/specialties/sonography
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,https://healthicons.org/icon/outline/specialties/biochemistry_laboratory
"Injury, poisoning and certain other consequences of external causes",S00-T88,https://healthicons.org/icon/outline/symbols/poison
External causes of morbidity,V00-Y99,https://healthicons.org/icon/outline/conditions/overweight
Factors influencing health status and contact with health services,Z00-Z99,https://healthicons.org/icon/outline/places/ministry_of_health
Codes for special purposes,U00-U85,https://healthicons.org/icon/outline/symbols/health_data_sync
