Health System / Hospital,City / Region,State(s),EMR,Residency Specialties (high level),Program Type,Owner,Last Contacted,Next Step,Notes,Contact,Contact Link,Status
Cleveland Clinic,Cleveland,OH,Epic,"IM, Surgery, Peds, etc",University-based,,,,,,,Not started
Mayo Clinic,Rochester / Scottsdale / Jacksonville,MN AZ FL,Epic,"IM, Derm, Anes, Cards, etc",University-based,,,,,,,Not started
Johns Hopkins Medicine,Baltimore,MD,Epic,"IM, Surgery, Oncology, etc",University-based,,,,,,,Not started
Massachusetts General Hospital,Boston,MA,Epic,"IM, Neuro, Psych, etc",University-based,,,,,,,Not started
UCLA Health,Los Angeles,CA,Epic,"EM, Ortho, Peds, etc",University-based,,,,,,,Not started
Yale New Haven Health,New Haven,CT,Epic,"IM, Surgery, etc",University-based,,,,,,,Not started
Stanford Health Care,Stanford,CA,Epic,"Surgery, Cards, IM",University-based,,,,,,,Not started
Duke University Health System,Durham,NC,Epic,"IM, Surgery, Peds",University-based,,,,,,,Not started
UC San Diego Health,San Diego,CA,Epic,"Neuro, Psych, IM",University-based,,,,,,,Not started
Mount Sinai Health System,New York,NY,Epic,"Surgery, IM, OB-GYN",University-based,,,,,,,Not started
NewYork-Presbyterian,New York,NY,Epic,"Cards, IM, Surgery",University-based,,,,,,,Not started
Ochsner Health,New Orleans,LA,Epic,"IM, Radiology, FM",Community/Academic,,,,,,,Not started
Univ. of Washington Medical Center,Seattle,WA,Epic,"Surgery, IM, Peds",University-based,,,,,,,Not started
Geisinger Health System,Danville,PA,Epic,"FM, Surgery, IM",Community/Academic,,,,,,,Not started
University of Chicago Medicine,Chicago,IL,Epic,"IM, EM, Surgery",University-based,,,,,,,Not started
University of Michigan,Ann Arbor,MI,Epic,"IM, Peds, Neuro",University-based,,,,,,,Not started
UCHealth,Multiple,CO,Epic,"Surgery, FM, IM, EM",Community/Academic,,,,,,,Not started
Rush University Medical Center,Chicago,IL,Epic,"IM, Surgery, Anes",University-based,,,,,,,Not started
Northwestern Medicine,Chicago,IL,Epic,"Cards, IM, Ortho",University-based,,,,,,,Not started
UPMC,Pittsburgh,PA,Epic,"Psych, Surgery, Neuro",University-based,,,,,,,Not started
Emory Healthcare,Atlanta,GA,Epic,"IM, Anes, Peds",University-based,,,,,,,Not started
Indiana University Health,Indianapolis,IN,Epic,"FM, IM, Peds, Surgery",University-based,,,,,,,Not started
UT Southwestern,Dallas,TX,Epic,"IM, Derm, Surgery",University-based,,,,,,,Not started
University of Virginia Health,Charlottesville,VA,Epic,"IM, Cards, Surgery",University-based,,,,,,,Not started
OSU Wexner Medical Center,Columbus,OH,Epic,"IM, Psych, FM",University-based,,,,,,,Not started
Baylor Scott & White Health,Multiple,TX,Epic,"IM, Surgery, Peds, OB-GYN",Community/Academic,,,,,,,Not started
"UF Healththe ",Gainesville,FL,Epic,"IM, Surgery, Peds",University-based,,,,,,,Not started
Vanderbilt Univ. Med Center,Nashville,TN,Epic,"Anes, Surgery, Neuro",University-based,,,,,,,Not started
Univ. of Iowa Hospitals & Clinics,Iowa City,IA,Epic,"Ophthal, IM, Surgery",University-based,,,,,,,Not started
VCU Health,Richmond,VA,Epic,"IM, Radiology, Surgery",University-based,,,,,,,Not started
Temple Univ. Health System,Philadelphia,PA,Epic,"IM, EM, etc",University-based,,,,,,,Not started
Wake Forest Baptist,Winston-Salem,NC,Epic,"IM, Peds, Surgery",University-based,,,,,,,Not started
UC Davis Medical Center,Sacramento,CA,Epic,"IM, Surgery, Peds",University-based,,,,,,,Not started
SUNY Upstate Medical University,Syracuse,NY,Epic,"FM, Psych, IM",University-based,,,,,,,Not started
UNMC,Omaha,NE,Epic,"Peds, IM, Surgery",University-based,,,,,,,Not started
Aurora Health Care,Milwaukee,WI,Epic,"IM, FM, Surgery",Community/Academic,,,,,,,Not started
Baptist Health South Florida,Miami,FL,Epic,"IM, FM, Surgery",Community/Academic,,,,,,,Not started
Cooper Univ. Health Care,Camden,NJ,Epic,"IM, Surgery, EM",University-based,,,,,,,Not started
Henry Ford Health System,Detroit,MI,Epic,"Surgery, IM, EM",Community/Academic,,,,,,,Not started
Allegheny Health Network,Pittsburgh,PA,Epic,"FM, IM, Cards",Community/Academic,,,,,,,Not started
Spectrum Health,Grand Rapids,MI,Epic,"FM, Peds, EM, IM",Community/Academic,,,,,,,Not started
The Christ Hospital Health Network,Cincinnati,OH,Epic,"IM, Surgery, FM",Community/Academic,,,,,,,Not started
Baystate Health,Springfield,MA,Epic,"Peds, IM, Surgery",Community/Academic,,,,,,,Not started
Norton Healthcare,Louisville,KY,Epic,"IM, FM, Peds",Community/Academic,,,,,,,Not started
Cambridge Health Alliance,Cambridge,MA,Epic,"FM, Psych, IM",Community/Academic,,,,,,,Not started
Lehigh Valley Health Network,Allentown,PA,Epic,"Surgery, IM, FM",Community/Academic,,,,,,,Not started
Main Line Health,Suburban Philly,PA,Epic,"IM, FM, OB-GYN",Community/Academic,,,,,,,Not started
UAMS,Little Rock,AR,Epic,"IM, Surgery, Peds",University-based,,,,,,,Not started
Sanford Health,Multiple,SD ND MN,Epic,"IM, FM, Surgery",Community/Academic,,,,,,,Not started
Advocate Aurora Health,IL / WI,IL WI,Epic,"IM, Surgery, FM",Community/Academic,,,,,,,Not started
Maimonides Medical Center,Brooklyn,NY,Epic,"IM, Surgery, Peds",Community/Academic,,,,,,,Not started
Inova Health System,Fairfax / NoVA,VA,Epic,"IM, FM, Surgery",Community/Academic,,,,,,,Not started
Intermountain Healthcare,Multiple,UT,Epic,"IM, FM, Peds, Surgery",Community/Academic,,,,,,,Not started
NYU Langone Health,New York,NY,Epic,"IM, EM, Peds, etc",University-based,,,,,,,Not started
Beaumont Health,Detroit Metro,MI,Epic,"Surgery, IM, FM, Peds",Community/Academic,,,,,,,Not started
ChristianaCare,Newark,DE,Epic,"IM, EM, OB-GYN",Community/Academic,,,,,,,Not started
University Hospitals Cleveland MC,Cleveland,OH,Epic,"IM, Neuro, Surgery",University-based,,,,,,,Not started
Hartford HealthCare,Hartford,CT,Epic,"IM, Psych, Surgery",Community/Academic,,,,,,,Not started
Ascension (various sites),Multi-state,—,Epic,"IM, Peds, FM, Surgery",Community/Academic,,,,,,,Not started
Sentara Healthcare,VA / NC,VA NC,Epic,"IM, FM, Surgery",Community/Academic,,,,,,,Not started
Wellstar Health System,Atlanta Metro,GA,Epic,"IM, FM, OB-GYN",Community/Academic,,,,,,,Not started
PeaceHealth,WA / OR / AK,WA OR AK,Epic,"FM, IM",Community/Academic,,,,,,,Not started
Atrium Health Wake Forest Baptist,Winston-Salem,NC,Epic,"IM, FM, Surgery, EM",University-based,,,,,,,Not started
Children’s Hospital Colorado,Aurora,CO,Epic,Pediatrics,University-based,,,,,,,Not started
Texas Health Resources,Dallas-Fort Worth,TX,Epic,"FM, IM, EM",Community/Academic,,,,,,,Not started
Jersey Shore Univ. Medical Center,Neptune City,NJ,Epic,"IM, FM, Peds",Community/Academic,,,,,,,Not started
UC Irvine Health,Orange,CA,Epic,"IM, Psych, Surgery, Peds",University-based,,,,,,,Not started
Henry Ford Allegiance Health,Jackson,MI,Epic,"FM, IM, EM",Community/Academic,,,,,,,Not started
WellSpan Health,York,PA,Epic,"FM, IM, OB-GYN",Community/Academic,,,,,,,Not started
UHS Wilson Medical Center,Johnson City,NY,Epic,"FM, IM",Community/Academic,,,,,,,Not started
University of Kentucky HealthCare,Lexington,KY,Epic,"IM, Surgery, Peds",University-based,,,,,,,Not started
Unity Health,Searcy,AR,Epic,"FM, EM",Community/Academic,,,,,,,Not started
Ochsner LSU Health Shreveport,Shreveport,LA,Epic,"IM, Surgery, Psych, Peds",University-based,,,,,,,Not started
Adventist Health White Memorial,Los Angeles,CA,Epic,"IM, FM, OB-GYN",Community/Academic,,,,,,,Not started
McLaren Health Care,Multiple,MI,Epic,"IM, FM, OB-GYN",Community/Academic,,,,,,,Not started
MercyOne Des Moines,Des Moines,IA,Epic,"IM, FM, Surgery",Community/Academic,,,,,,,Not started
UC Riverside Health,Riverside,CA,Epic,"FM, IM",University-based,,,,,,,Not started
Community Health Network,Indianapolis,IN,Epic,"FM, Psych",Community/Academic,,,,,,,Not started
