Health System / Hospital,City / Region,Contact,Contact Link,EMR,Last Contacted,Next Step,Notes,Owner,Program Type,Residency Specialties (high level),State(s),Status
Cleveland Clinic,Cleveland,,,Epic,,,,,University-based,"IM, Surgery, Peds, etc",OH,Not started
Duke University Health System,Durham,,,Epic,,,,,University-based,"IM, Surgery, Peds",NC,Not started
Yale New Haven Health,New Haven,,,Epic,,,,,University-based,"IM, Surgery, etc",CT,Not started
Stanford Health Care,Stanford,,,Epic,,,,,University-based,"Surgery, Cards, IM",CA,Not started
Massachusetts General Hospital,Boston,,,Epic,,,,,University-based,"IM, Neuro, Psych, etc",MA,Not started
Johns Hopkins Medicine,Baltimore,,,Epic,,,,,University-based,"IM, Surgery, Oncology, etc",MD,Not started
Mayo Clinic,Rochester / Scottsdale / Jacksonville,,,Epic,,,,,University-based,"IM, Derm, Anes, Cards, etc",MN AZ FL,Not started
UCLA Health,Los Angeles,,,Epic,,,,,University-based,"EM, Ortho, Peds, etc",CA,Not started
UC San Diego Health,San Diego,,,Epic,,,,,University-based,"Neuro, Psych, IM",CA,Not started
Geisinger Health System,Danville,,,Epic,,,,,Community/Academic,"FM, Surgery, IM",PA,Not started
Northwestern Medicine,Chicago,,,Epic,,,,,University-based,"Cards, IM, Ortho",IL,Not started
Mount Sinai Health System,New York,,,Epic,,,,,University-based,"Surgery, IM, OB-GYN",NY,Not started
University of Michigan,Ann Arbor,,,Epic,,,,,University-based,"IM, Peds, Neuro",MI,Not started
Rush University Medical Center,Chicago,,,Epic,,,,,University-based,"IM, Surgery, Anes",IL,Not started
Univ. of Washington Medical Center,Seattle,,,Epic,,,,,University-based,"Surgery, IM, Peds",WA,Not started
UPMC,Pittsburgh,,,Epic,,,,,University-based,"Psych, Surgery, Neuro",PA,Not started
University of Chicago Medicine,Chicago,,,Epic,,,,,University-based,"IM, EM, Surgery",IL,Not started
NewYork-Presbyterian,New York,,,Epic,,,,,University-based,"Cards, IM, Surgery",NY,Not started
Ochsner Health,New Orleans,,,Epic,,,,,Community/Academic,"IM, Radiology, FM",LA,Not started
UCHealth,Multiple,,,Epic,,,,,Community/Academic,"Surgery, FM, IM, EM",CO,Not started
Temple Univ. Health System,Philadelphia,,,Epic,,,,,University-based,"IM, EM, etc",PA,Not started
Wake Forest Baptist,Winston-Salem,,,Epic,,,,,University-based,"IM, Peds, Surgery",NC,Not started
University of Virginia Health,Charlottesville,,,Epic,,,,,University-based,"IM, Cards, Surgery",VA,Not started
Indiana University Health,Indianapolis,,,Epic,,,,,University-based,"FM, IM, Peds, Surgery",IN,Not started
UC Davis Medical Center,Sacramento,,,Epic,,,,,University-based,"IM, Surgery, Peds",CA,Not started
UT Southwestern,Dallas,,,Epic,,,,,University-based,"IM, Derm, Surgery",TX,Not started
OSU Wexner Medical Center,Columbus,,,Epic,,,,,University-based,"IM, Psych, FM",OH,Not started
"UF Healththe ",Gainesville,,,Epic,,,,,University-based,"IM, Surgery, Peds",FL,Not started
Emory Healthcare,Atlanta,,,Epic,,,,,University-based,"IM, Anes, Peds",GA,Not started
VCU Health,Richmond,,,Epic,,,,,University-based,"IM, Radiology, Surgery",VA,Not started
Vanderbilt Univ. Med Center,Nashville,,,Epic,,,,,University-based,"Anes, Surgery, Neuro",TN,Not started
Baylor Scott & White Health,Multiple,,,Epic,,,,,Community/Academic,"IM, Surgery, Peds, OB-GYN",TX,Not started
Univ. of Iowa Hospitals & Clinics,Iowa City,,,Epic,,,,,University-based,"Ophthal, IM, Surgery",IA,Not started
Lehigh Valley Health Network,Allentown,,,Epic,,,,,Community/Academic,"Surgery, IM, FM",PA,Not started
Allegheny Health Network,Pittsburgh,,,Epic,,,,,Community/Academic,"FM, IM, Cards",PA,Not started
Cambridge Health Alliance,Cambridge,,,Epic,,,,,Community/Academic,"FM, Psych, IM",MA,Not started
Baptist Health South Florida,Miami,,,Epic,,,,,Community/Academic,"IM, FM, Surgery",FL,Not started
Cooper Univ. Health Care,Camden,,,Epic,,,,,University-based,"IM, Surgery, EM",NJ,Not started
SUNY Upstate Medical University,Syracuse,,,Epic,,,,,University-based,"FM, Psych, IM",NY,Not started
Spectrum Health,Grand Rapids,,,Epic,,,,,Community/Academic,"FM, Peds, EM, IM",MI,Not started
The Christ Hospital Health Network,Cincinnati,,,Epic,,,,,Community/Academic,"IM, Surgery, FM",OH,Not started
Henry Ford Health System,Detroit,,,Epic,,,,,Community/Academic,"Surgery, IM, EM",MI,Not started
UNMC,Omaha,,,Epic,,,,,University-based,"Peds, IM, Surgery",NE,Not started
Baystate Health,Springfield,,,Epic,,,,,Community/Academic,"Peds, IM, Surgery",MA,Not started
Norton Healthcare,Louisville,,,Epic,,,,,Community/Academic,"IM, FM, Peds",KY,Not started
Main Line Health,Suburban Philly,,,Epic,,,,,Community/Academic,"IM, FM, OB-GYN",PA,Not started
Aurora Health Care,Milwaukee,,,Epic,,,,,Community/Academic,"IM, FM, Surgery",WI,Not started
Inova Health System,Fairfax / NoVA,,,Epic,,,,,Community/Academic,"IM, FM, Surgery",VA,Not started
Maimonides Medical Center,Brooklyn,,,Epic,,,,,Community/Academic,"IM, Surgery, Peds",NY,Not started
Sentara Healthcare,VA / NC,,,Epic,,,,,Community/Academic,"IM, FM, Surgery",VA NC,Not started
NYU Langone Health,New York,,,Epic,,,,,University-based,"IM, EM, Peds, etc",NY,Not started
UAMS,Little Rock,,,Epic,,,,,University-based,"IM, Surgery, Peds",AR,Not started
ChristianaCare,Newark,,,Epic,,,,,Community/Academic,"IM, EM, OB-GYN",DE,Not started
Sanford Health,Multiple,,,Epic,,,,,Community/Academic,"IM, FM, Surgery",SD ND MN,Not started
Hartford HealthCare,Hartford,,,Epic,,,,,Community/Academic,"IM, Psych, Surgery",CT,Not started
Intermountain Healthcare,Multiple,,,Epic,,,,,Community/Academic,"IM, FM, Peds, Surgery",UT,Not started
Advocate Aurora Health,IL / WI,,,Epic,,,,,Community/Academic,"IM, Surgery, FM",IL WI,Not started
University Hospitals Cleveland MC,Cleveland,,,Epic,,,,,University-based,"IM, Neuro, Surgery",OH,Not started
Ascension (various sites),Multi-state,,,Epic,,,,,Community/Academic,"IM, Peds, FM, Surgery",—,Not started
Beaumont Health,Detroit Metro,,,Epic,,,,,Community/Academic,"Surgery, IM, FM, Peds",MI,Not started
Henry Ford Allegiance Health,Jackson,,,Epic,,,,,Community/Academic,"FM, IM, EM",MI,Not started
