TemplateID,Orientation,Description,Notes,Background,Textbox1 Width,Textbox1 Height,Textbox1 X,Textbox1 Y,text-align,vertical-align,font-size,Photo1 Width,Photo1 Height,Photo1 X,Photo1 Y,Photo2 Width,Photo2 Height,Photo2 X,Photo2 Y,Photo3 Width,Photo3 Height,Photo3 X,Photo3 Y,Photo4 Width,Photo4 Height,Photo4 X,Photo4 Y,Photo5 Width,Photo5 Height,Photo5 X,Photo5 Y,Photo6 Width,Photo6 Height,Photo6 X,Photo6 Y,Photo7 Width,Photo7 Height,Photo7 X,Photo7 Y,Photo8 Width,Photo8 Height,Photo8 X,Photo8 Y,Photo9 Width,Photo9 Height,Photo9 X,Photo9 Y
0,Landscape,Blank,blank,Design Pattern,n/a,n/a,n/a,n/a,n/a,n/a,100,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1,Landscape,0 Photo - 1 Text,Just text,Default color,2600,1627,250,250,center,middle,175,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2,Landscape,1 Photo - 1 Text,"50% left full photo, 50% full text box",Default color,1450,1827,1550,100,center,middle,175,1450,1827,100,100,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
3,Landscape,1 Photo - 1 Text,"center middle photo, text above",Default color,2600,275,250,200,center,middle,50,2000,1250,550,520,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4,Landscape,1 Photo - No Text,1 full height/width,Default color,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2900,1827,100,100,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5,Landscape,2 Photos - 1 Text,2 stacked on left 50%,Default color,1450,1827,1550,100,center,middle,100,1450,937,100,100,1450,890,100,1037,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
6,Landscape,2 Photos - 1 Text,"2 in middle, text above",Default color,2500,625,300,263,center,middle,100,1250,800,299,1000,1250,800,1551,1000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
7,Landscape,2 Photos - No Text,"2 full height, 50% width",Default color,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1450,1827,100,100,1450,1827,1550,100,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
8,Landscape,2 Photos - No Text,full height: ~38% width; square width,Default color,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1070,1827,100,100,1827,1827,1173,100,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
9,Landscape,3 Photos - 1 Text,33% width stacked + 1 big text box,Default color,1670,1677,1180,200,center,middle,175,980,643,100,100,980,592,100,743,980,592,100,1335,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10,Landscape,3 Photos - 1 Text,strip in the middle + text above,Default color,2400,575,350,300,center,middle,75,980,700,100,1000,940,700,1080,1000,980,700,2020,1000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
11,Landscape,3 Photos - No Text,"3 full height, 1/3rd width",Default color,n/a,n/a,n/a,n/a,n/a,n/a,n/a,978,1827,100,100,940,1827,1080,100,978,1827,2022,100,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
12,Landscape,3 Photos - No Text,1 full height/50% width + 2 50% height,Default color,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1450,937,100,100,1450,890,100,1037,1450,1827,1550,100,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
13,Landscape,3 Photos - No Text,"strip in the middle, 1/3rd width each",Default color,n/a,n/a,n/a,n/a,n/a,n/a,n/a,980,700,100,688,940,700,1080,688,980,700,2020,688,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
14,Landscape,4 Photos - No Text,100% coverage - 1/4th each,Default color,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1449,935,100,100,1449,935,1552,100,1449,888,100,1039,1449,888,1552,1039,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
